iter	RMSE
0	4783.302572
1	4711.042595
2	4638.931855
3	4569.065915
4	4489.388126
5	4412.647914
6	4346.998025
7	4264.699314
8	4197.570698
9	4131.173105
10	4065.533432
11	4006.750728
12	3936.096144
13	3887.404551
14	3829.903287
15	3774.651151
16	3714.353194
17	3655.301773
18	3603.114375
19	3551.432675
20	3494.652803
21	3445.808723
22	3391.063467
23	3346.501976
24	3298.600709
25	3242.331849
26	3204.863922
27	3162.023815
28	3122.020358
29	3080.932319
30	3040.734811
31	3001.685563
32	2959.926911
33	2924.103415
34	2888.4182
35	2847.006992
36	2809.945806
37	2770.689322
38	2739.909685
39	2715.851348
40	2684.47104
41	2648.361711
42	2613.632803
43	2581.63992
44	2547.400079
45	2516.266911
46	2489.688214
47	2457.937021
48	2431.509087
49	2409.071346
50	2377.544126
51	2350.445317
52	2323.411989
53	2299.874336
54	2280.991544
55	2258.812901
56	2234.005484
57	2210.629069
58	2188.75488
59	2167.742093
60	2148.056084
61	2129.014246
62	2111.724627
63	2090.228217
64	2071.191909
65	2053.891963
66	2036.997294
67	2020.485042
68	2003.162302
69	1988.646278
70	1973.121589
71	1956.403044
72	1941.251096
73	1926.292535
74	1909.415385
75	1893.649207
76	1880.144478
77	1871.872987
78	1858.215661
79	1841.698327
80	1826.52765
81	1813.475011
82	1803.702808
83	1792.17021
84	1780.639646
85	1768.611386
86	1754.472975
87	1743.840419
88	1731.516483
89	1719.135317
90	1708.684399
91	1698.797864
92	1686.147031
93	1675.880083
94	1662.54176
95	1650.904808
96	1642.92287
97	1631.68441
98	1623.94236
99	1612.902464
100	1600.745011
101	1590.5712
102	1582.652598
103	1572.764601
104	1563.173913
105	1557.040655
106	1548.935182
107	1539.178526
108	1530.905736
109	1523.828527
110	1517.350363
111	1509.396104
112	1501.103509
113	1493.89763
114	1484.733662
115	1475.289626
116	1469.517871
117	1462.836914
118	1455.788437
119	1449.268466
120	1443.227546
121	1438.032544
122	1429.235777
123	1426.426913
124	1421.519691
125	1413.442301
126	1406.359001
127	1400.147469
128	1393.463987
129	1389.070199
130	1382.731088
131	1375.373923
132	1369.200002
133	1362.665158
134	1357.052109
135	1353.265645
136	1348.994899
137	1343.714574
138	1337.425209
139	1332.966821
140	1327.418275
141	1320.364438
142	1315.748511
143	1311.120017
144	1305.30546
145	1299.633179
146	1295.553659
147	1288.707092
148	1282.345933
149	1277.841659
150	1273.018919
151	1268.755168
152	1261.975508
153	1258.444239
154	1257.265918
155	1253.841285
156	1248.371823
157	1240.70424
158	1233.46122
159	1229.884294
160	1224.193201
161	1221.048548
162	1217.227997
163	1215.907749
164	1211.421361
165	1207.338709
166	1203.488368
167	1197.421647
168	1194.477656
169	1188.13822
170	1184.472101
171	1181.688129
172	1178.380558
173	1174.082077
174	1171.880656
175	1167.904445
176	1165.072464
177	1160.294833
178	1156.911393
179	1152.166062
180	1148.774633
181	1142.360956
182	1139.881552
183	1137.168031
184	1132.857152
185	1131.047769
186	1126.823555
187	1123.443926
188	1119.779058
189	1115.056175
190	1111.346903
191	1106.357421
192	1103.671353
193	1101.406927
194	1097.983639
195	1094.431326
196	1088.270334
197	1085.6376
198	1083.676705
199	1080.463437
200	1077.549242
201	1074.813544
202	1071.167218
203	1067.381118
204	1064.074197
205	1062.750837
206	1059.668094
207	1057.621774
208	1054.192705
209	1051.898402
210	1048.790792
211	1045.115083
212	1041.03927
213	1037.058554
214	1035.175449
215	1032.085014
216	1028.445094
217	1025.717568
218	1023.853375
219	1020.634395
220	1018.556032
221	1015.497623
222	1010.499967
223	1007.969362
224	1005.987969
225	1002.788212
226	1000.272066
227	997.8556038
228	996.0749507
229	993.0587179
230	990.891349
231	988.6208139
232	986.3425859
233	984.3537333
234	981.3276355
235	979.1019218
236	976.0698145
237	973.5156443
238	971.4713386
239	968.9599123
240	965.6868179
241	962.6803308
242	960.5746241
243	958.4436341
244	956.1705994
245	953.384839
246	950.6230844
247	948.9231034
248	946.4298812
249	944.8484848
250	942.6048101
251	940.2119296
252	935.54527
253	933.3888013
254	931.6877901
255	930.0645323
256	928.1536839
257	925.5383883
258	923.6832693
259	921.3262769
260	918.7813138
261	916.8697308
262	915.3586029
263	913.3018435
264	911.5376963
265	907.2644929
266	905.5921443
267	902.9288944
268	900.5590723
269	897.4611249
270	895.8449499
271	893.5944176
272	889.5645018
273	887.8629636
274	886.0160457
275	884.2651702
276	883.1932289
277	880.811014
278	878.7266354
279	876.9849953
280	875.0733345
281	873.4117316
282	871.8895536
283	869.646187
284	867.4270861
285	863.1779302
286	861.564588
287	860.4211617
288	859.0816269
289	857.4845594
290	855.9489253
291	854.1067062
292	851.989857
293	849.6851414
294	847.7032777
295	846.2222828
296	845.1264831
297	841.5591583
298	839.6353837
299	838.3387547
300	836.4570653
301	834.6103428
302	833.2594215
303	831.5470372
304	830.3096201
305	828.6790473
306	827.317831
307	825.876158
308	824.5879895
309	823.2661201
310	821.8500552
311	820.0863456
312	818.5367338
313	817.3142808
314	815.5892277
315	813.3388856
316	812.0846704
317	810.7488342
318	809.4449065
319	806.7480819
320	805.5607661
321	803.8314863
322	802.5488166
323	800.3974767
324	796.884459
325	795.2726051
326	794.0334312
327	791.6184285
328	790.3424723
329	788.7605574
330	788.0901564
331	787.5370822
332	786.9941351
333	786.3493508
334	784.7946174
335	784.2899278
336	783.2315068
337	782.0150301
338	780.4403895
339	779.2591481
340	777.9410933
341	776.7921687
342	776.2460653
343	775.6578615
344	775.0803875
345	774.2307819
346	773.6720955
347	773.1234244
348	772.5845435
349	772.0552345
350	771.5352851
351	770.2124105
352	769.403723
353	768.3749096
354	767.2668462
355	766.6857584
356	766.1722991
357	765.7751068
358	765.3858576
359	764.7701496
360	763.7768171
361	763.171773
362	762.098826
363	761.7270815
364	761.1405354
365	760.1088619
366	759.5592027
367	759.0474843
368	757.9368469
369	757.4101808
370	756.8957013
371	756.3930322
372	755.4051195
373	754.9148613
374	754.5971775
375	754.0936439
376	753.6212623
377	753.3170946
378	751.8391694
379	751.5402648
380	751.1848529
381	749.7323018
382	749.4425718
383	748.7980368
384	747.37773
385	746.8176166
386	745.4294119
387	745.0888479
388	744.4893615
389	743.1315236
390	742.6941524
391	742.1185834
392	741.6127051
393	739.925891
394	738.6039423
395	737.3056582
396	736.2983634
397	735.0217515
398	733.7679562
399	733.3465437
