iter	Passed	Remaining
0	61	61816
1	123	61555
2	183	61050
3	245	61087
4	306	61030
5	366	60642
6	425	60342
7	484	60084
8	542	59754
9	604	59871
10	666	59939
11	727	59922
12	787	59805
13	845	59530
14	905	59488
15	968	59562
16	1028	59455
17	1088	59370
18	1151	59457
19	1213	59450
20	1274	59396
21	1336	59411
22	1400	59490
23	1464	59558
24	1531	59747
25	1595	59781
26	1659	59809
27	1718	59646
28	1778	59545
29	1837	59409
30	1898	59342
31	1959	59285
32	2021	59239
33	2084	59214
34	2145	59155
35	2205	59068
36	2265	58953
37	2325	58880
38	2385	58791
39	2444	58678
40	2506	58634
41	2567	58571
42	2628	58501
43	2689	58427
44	2750	58377
45	2811	58307
46	2873	58254
47	2931	58150
48	2991	58062
49	3051	57987
50	3112	57925
51	3172	57844
52	3237	57844
53	3296	57750
54	3356	57670
55	3416	57596
56	3475	57498
57	3538	57474
58	3601	57438
59	3662	57383
60	3721	57281
61	3785	57264
62	3850	57262
63	3911	57208
64	3972	57147
65	4036	57118
66	4096	57046
67	4155	56952
68	4219	56931
69	4278	56845
70	4337	56755
71	4396	56663
72	4454	56564
73	4513	56485
74	4575	56436
75	4633	56334
76	4692	56253
77	4752	56179
78	4813	56111
79	4875	56068
80	4935	55994
81	4993	55908
82	5055	55849
83	5117	55799
84	5176	55728
85	5236	55658
86	5303	55652
87	5366	55621
88	5426	55548
89	5488	55499
90	5550	55446
91	5611	55380
92	5670	55300
93	5731	55238
94	5790	55158
95	5849	55078
96	5908	55004
97	5967	54929
98	6027	54857
99	6089	54808
100	6153	54772
101	6219	54757
102	6285	54736
103	6351	54721
104	6416	54691
105	6475	54616
106	6535	54542
107	6597	54492
108	6656	54412
109	6715	54337
110	6775	54266
111	6834	54186
112	6898	54149
113	6958	54081
114	7020	54029
115	7083	53981
116	7145	53923
117	7205	53861
118	7266	53798
119	7326	53725
120	7384	53642
121	7445	53584
122	7506	53520
123	7566	53456
124	7624	53372
125	7684	53305
126	7745	53245
127	7802	53157
128	7862	53085
129	7925	53036
130	7986	52976
131	8047	52915
132	8105	52836
133	8165	52773
134	8226	52709
135	8289	52663
136	8348	52588
137	8408	52521
138	8473	52488
139	8542	52472
140	8608	52447
141	8678	52437
142	8744	52408
143	8809	52366
144	8870	52305
145	8933	52255
146	8995	52201
147	9056	52136
148	9118	52079
149	9177	52005
150	9239	51950
151	9300	51885
152	9360	51821
153	9421	51756
154	9482	51692
155	9544	51639
156	9606	51579
157	9667	51518
158	9729	51462
159	9789	51393
160	9848	51320
161	9907	51249
162	9967	51182
163	10026	51108
164	10084	51032
165	10144	50967
